,Kunjungan Wisnus Jabodetabek
1/31/2019,20012922
2/31/2019,16985389
3/31/2019,18885981
4/31/2019,19755086
5/31/2019,17270657
6/31/2019,26703656
7/31/2019,21965848
8/31/2019,23752300
9/31/2019,20903801
10/31/2019,23827004
11/31/2019,24591946
12/31/2019,23367727
1/31/2020,18271296
2/31/2020,16542118
3/31/2020,12204612
4/31/2020,4431412
5/31/2020,5953804
6/31/2020,9536132
7/31/2020,12908177
8/31/2020,14684675
9/31/2020,10669363
10/31/2020,13438464
11/31/2020,14598016
12/31/2020,16399640
1/31/2021,11554481
2/31/2021,12537424
3/31/2021,14529768
4/31/2021,13886811
5/31/2021,16169293
6/31/2021,12872989
7/31/2021,7449470
8/31/2021,11745974
9/31/2021,15416980
10/31/2021,18541571
11/31/2021,16695663
12/31/2021,19283287
1/31/2022,15493016
2/31/2022,11886482
3/31/2022,18305703
4/31/2022,14118020
5/31/2022,23668311
6/31/2022,18804625
7/31/2022,19652625
8/31/2022,17267956
9/31/2022,19048614
10/31/2022,20671355
11/31/2022,17877846
12/31/2022,21342873
1/31/2023,25938789
2/31/2023,21889099
3/31/2023,19525920
4/31/2023,18762995
5/31/2023,20075342
6/31/2023,20156021
7/31/2023,22581348
8/31/2023,19000965
9/31/2023,22039330
10/31/2023,22524245
11/31/2023,22327224
12/31/2023,29425190
1/31/2024,24561465
2/31/2024,23461270
3/31/2024,22336863
4/31/2024,28828064
5/31/2024,24195888
6/31/2024,23710098
7/31/2024,21993541
8/31/2024,23789041
9/31/2024,26812843
10/31/2024,26149504
11/31/2024,25924071
12/31/2024,31125242
1/31/2025,31072741
2/31/2025,28037718
3/31/2025,27401406
4/31/2025,37033467
5/31/2025,31243376
6/31/2025,32606454
7/31/2025,31495343
